Name,Founder Name,Stage,Startup Info,Assigned to
AI Lens,Chaitanya Repaka,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
Decentrialz,Swaroop E S D,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
Stealth (Prashanth SR),Prashanth S.R,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
Stealth (Krishnendu Dasgupta),Krishnendu Dasgupta,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
E3Bio Cleantech,"Mohit Singh Rana | Building E3BIOCLEANTECH | Wastewater treatment, Bioenergy, Decarbonization and Net-zero Transition | Postdoc",Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
Clenv,Faisal Nayaab,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
Kardle Industries,"KARDLE AERSAFE | KARDLE Industries, a Climate Tech startup indigenized a patented carbon capture technology",Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
Genomia Diagnostics Research,Shahbaz Khan,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
RiRe Tech,Amit Malik,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
TeraScan,Abhishek Hundia,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
ShapeSense AI,Chetan Anand,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
AeroYantra,Vishal Singh Dhami,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
Emiscon,Altamash Gulab,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
GreenSwapp AI,Ajay Varadharajan,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
Pacific Power,Rajat Duvedi,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
Ampin Energy Transition,Pinaki Bhattacharyya,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,debansh@ankurcapital.com
PolyEnergetics,Pradeep Bhatt,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
Drugvigil,Balasubramanian Periannan | Founder at Drugvigil || Pharmacovigilance services,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
Anveira,Veeraswamy Somarouthu,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
DatraAI,Pushkar Singh,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.aman@ankurcapital.com
Stealth (Goutam Nail),Goutam Naik,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
Aura Semiconductor,Srinath Sridharan,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
Vrisva Space,Harshitha R.,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.katariya@ankurcapital.com
Superfirst Chemicals,Mohammed Asif,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.aman@ankurcapital.com
Sattvaa Specialty Chemicals,Neha Titre,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,vishal.aman@ankurcapital.com
Synnova Intermediates,Ruchir Mundra | Founder,Pre-open list,From VK's sourcing tool - assigned person to do their diligence,suraj@ankurcapital.com
